"parameter","value","units","depth_interval"
"euphotic_depth",44.9157408823529,"m","from_combined_dataset"
"temperature",24.3362830898605,"deg_C","0-50m"
"PP_total",1202.97283523053,"mg_C_m-2_d-1","0-50m_integrated"
"f_ratio",0.176563196523426,"dimensionless","derived_Laws2011"
"new_production_area",212.400729119152,"mg_C_m-2_d-1","derived"
"new_nutrient_flux",0.0594331221782606,"mmol_N_m-3_d-1","derived"
"N0",5.55638357764444,"mmol_N_m-3","50-70m"
"N_surface",2.01580774319373,"mmol_N_m-3","0-50m"
"N0_minus_N",3.54057583445071,"mmol_N_m-3","derived"
"dilution_rate",0.016786287021439,"d-1","derived"
"residence_time",59.5724354482218,"days","derived"
"PON",9.40942847306807,"mmol_N_m-3","0-50m"
"export_flux",2.58205184954956,"mmol_N_m-2_d-1","50m_from_225m_trap"
"martin_b",0.858,"dimensionless","Martin_1987"
