"","year","sardinelandings"
"1",1974,22332.0426708811
"2",1975,46950.4543658633
"3",1976,35773.0541288028
"4",1977,35190.9917028843
"5",1978,25731.4895298301
"6",1979,36604.1880679574
"7",1980,50913.4729355986
"8",1981,27422.0466218886
"9",1982,51754.2473330699
"10",1983,40863.0580798104
"11",1984,47440.2212564204
"12",1985,52872.0663769261
"13",1986,79208.6922165152
"14",1987,82349.5851442117
"15",1988,58571.6317661004
"16",1989,68585.2232319242
"17",1990,56548.55788226
"18",1991,74580.6400632161
"19",1992,79439.7471355196
"20",1993,85730.5412880285
"21",1994,112067.167127618
"22",1995,152150.138285263
"23",1996,153286.131963651
"24",1997,140103.832477282
"25",1998,185627.340971948
"26",1999,125767.048597392
"27",2000,72493.2437771633
"28",2001,112002.844725405
"29",2002,157812.722244172
"30",2003,141480.521532991
"31",2004,200176.689055709
"32",2005,107956.854998025
"33",2006,63416.3701067616
"34",2007,54982.206405694
"35",2008,35978.6476868327
"36",2009,48256.2277580071
"37",2010,41850.5338078292
"38",2011,41957.2953736655
"39",2012,41957.2953736655
"40",2013,44946.6192170819
"41",2014,48790.0355871886
"42",2015,75160.1423487545
"43",2016,89786.4768683274
"44",2017,91387.9003558719
